id;nombre;rut;edad;sexo
0;Catalina Luna;46251263-5;90;mujer
1;Sergio Galaz;92310665-0;47;hombre
2;Catalina Patino;77837095-6;55;mujer
3;Nicolas Henriquez;66922079-0;70;mujer
4;Magdalena Santibanez;79464991-k;74;hombre
5;Lisandro Pinto;22997103-4;42;mujer
6;Leonardo Bucarei;61890115-7;42;hombre
7;Sofia Pena;45347413-5;29;hombre
8;Valentina Gutierrez;54864080-6;75;hombre
9;Simoney Mora;86447590-6;26;hombre
10;Martin Bustos;45355149-0;54;hombre
11;Diego Caniullan;19942007-0;89;hombre
12;Yanara Carrasco;79263691-8;39;mujer
13;Karla Castillo;32165632-3;38;mujer
14;Yaimara Cisternas;66760004-9;83;hombre
15;Pamela Figueroa;49326776-0;91;mujer
16;Aritza Flores;97804380-1;67;mujer
17;Giordano Flores;83399209-0;20;hombre
18;Danae Gamboa;86260284-6;95;mujer
19;Diego Guajardo;19209075-k;74;mujer
20;Bayron Guzman;31653150-4;84;mujer
21;Gabriela Jimenez;64100872-9;26;hombre
22;Orlando Moraga;72629258-2;56;hombre
23;Matias Moreno;17263415-k;13;mujer
24;Matias Painequeo;18208603-7;85;mujer
25;Sayenn Pavez;90414316-2;26;mujer
26;Gonzalo Pino;16045471-7;88;mujer
27;Benjamin Quilacan;28792266-3;37;hombre
28;Millaray Ramos;68353685-7;56;hombre
29;Aaron Roa;99428020-1;83;mujer
30;Martin Rojas;24840265-2;66;hombre
31;Yael Salcedo;79850677-3;81;hombre
32;Caceres San;95741388-9;57;mujer
33;Lucas Santibanez;77210598-3;63;hombre
34;Luis Torres;96187015-1;57;mujer
35;Zithlali Ulloa;68120110-6;28;hombre
36;Javiera Vasquez;56619171-7;66;hombre
37;Jorge Zumelzu;51616764-5;15;mujer
38;Alan Aceiton;60916764-5;97;hombre
39;Paz Aguayo;81252987-0;41;mujer
40;Flores Al;59192155-k;67;hombre
41;Lucas Araya;41391265-2;81;hombre
42;Daniela Arriagada;76041278-3;75;mujer
43;Benjamin Barria;78158392-8;43;mujer
44;Franco Benavides;49995619-3;97;mujer
45;Genesis Cardenas;37156185-4;59;mujer
46;Sergio Cardenas;85410626-0;24;hombre
47;Antonio Carrasco;10116173-0;72;hombre
48;Ian Carrera;88757035-3;30;mujer
49;Barbara Carvajal;68583239-9;42;hombre
50;Ignacio Castillo;35492826-4;59;hombre
51;Alondra Chamorro;86683089-4;91;mujer
52;Francisca Colima;28320055-8;67;hombre
53;Constanza Conejeros;86043030-4;87;mujer
54;Ivanna Contreras;27604578-4;44;mujer
55;Martin Flores;35412165-4;78;mujer
56;Constanza Gomez;80869010-1;40;hombre
57;Franco Gomez;86555166-5;34;mujer
58;Javiera Grandin;61036645-7;10;hombre
59;Javier Hurtado;40373818-2;84;mujer
60;Lucas Jara;24149278-8;84;mujer
61;Benjamin Jeria;43161018-3;95;mujer
62;Felipe Jilberto;67938721-9;16;hombre
63;Constanza Jorquera;18768050-6;32;hombre
64;Javiera Lizama;49881324-0;54;hombre
65;Catalina Lopez;36578275-k;28;mujer
66;Isidora Loyola;92505908-0;83;hombre
67;Bruno Mardones;16483997-4;36;hombre
68;Antonella Molina;91957885-8;53;mujer
69;Escarlet Morales;85930746-9;31;hombre
70;Javier Moya;43630977-5;30;mujer
71;Xavier Oyarzun;70876733-6;62;hombre
72;Silvio Peralta;36731956-9;81;mujer
73;Yohao Portales;42127645-5;70;hombre
74;Cesia Ramos;38158176-4;85;mujer
75;Francisca Reyes;48292072-1;33;mujer
76;Benjamin Rodriguez;86434438-0;30;mujer
77;Juan Sanchez;62974576-9;86;mujer
78;Constanza Sepulveda;71881591-6;53;hombre
79;Lucas Vasquez;16670974-1;74;hombre
80;Matias Vega;19027799-2;52;hombre
81;Isidora Villarroel;36669949-k;98;mujer
82;Victoria Adasme;58179139-9;75;hombre
83;Alonso Agurto;80146994-9;41;mujer
84;Carlos Antifil;34902561-2;99;hombre
85;Maria Aranda;27811535-6;34;mujer
86;Ignacio Arias;37653211-9;17;hombre
87;Rocio Bernales;78734770-3;95;hombre
88;Amaro Bravo;82260254-1;70;mujer
89;SeBastian Bustos;92253121-8;34;hombre
90;Jacob Cartes;53325503-5;98;hombre
91;Martin Celis;27423756-2;84;hombre
92;Noelia Cid;56840142-5;21;hombre
93;Hugo Cordova;99233768-0;37;hombre
94;Rocio Cuello;95541819-0;30;hombre
95;Monserrat Echeverria;61773216-5;28;hombre
96;Fernando Escobar;13635178-8;14;hombre
97;Emily Farias;93310611-k;40;hombre
98;Isidora Fernandez;85073231-0;89;hombre
99;Antonella Garrido;41601315-2;49;mujer
